egid;eingang_koordinaten
450579;47.55406936360339, 7.569040842432276
450580;47.554431570918894, 7.569046641498792
450582;47.55455998452728, 7.569021579441946
450585;47.55474980181467, 7.569001476344873
450586;47.55481086782747, 7.568994730044198
450588;47.55493910629572, 7.568981504709664
450591;47.5551179680385, 7.568962424185023
450596;47.556341585763064, 7.568799186658974
450598;47.55649192529092, 7.568782772495765
450602;47.55705903823684, 7.568722439039642
450603;47.55714908492367, 7.56868884492586
450610;47.55370240466352, 7.575559748638569
450611;47.55558932391472, 7.568878969557874
450613;47.55340035350785, 7.568776655351873
450616;47.55642215747997, 7.568454878044102
450620;47.556764913362116, 7.568418203812964
450621;47.55688286198962, 7.568405748787391
450622;47.55701970003513, 7.568390961338413
450632;47.55713550149921, 7.567442878285457
450636;47.55657230185067, 7.567494771755889
450639;47.55631291865339, 7.567522830950187
450641;47.55554869624229, 7.567447731238441
450648;47.55299688188586, 7.5678491972668525
450649;47.55281115663855, 7.567853238801215
450654;47.553952452279425, 7.567178378422417
450655;47.55387540301477, 7.567186456666212
450658;47.553645415716026, 7.5672104017717
450659;47.553570469828166, 7.567219521228937
450664;47.553166072711605, 7.567262655436944
450667;47.55292080288792, 7.56728848945964
450669;47.55275480383606, 7.567306210858507
450670;47.55510801599701, 7.565399461236906
450674;47.554802862798844, 7.565436960398898
450675;47.55472547887605, 7.565446913765779
450679;47.554431476453345, 7.565485700953241
450682;47.55397294909673, 7.565551544839327
450686;47.55369751324228, 7.565578750363096
450687;47.553620570069896, 7.565588611365626
450689;47.55348764244585, 7.565613550998108
450693;47.55315720236991, 7.565647586730458
450699;47.55272862663692, 7.565702631658754
450703;47.55696813312103, 7.564745877206944
450704;47.55690737185371, 7.564753864993697
450705;47.55679949796358, 7.564765063156424
450706;47.556429572148836, 7.564852621963805
450716;47.55569141458902, 7.564949659453498
450719;47.55529183067998, 7.565000742310166
450725;47.5539526861886, 7.565162316161749
450727;47.553827980195884, 7.565186107366965
450730;47.55359769959954, 7.565215507374789
450733;47.55340013347832, 7.565232682487391
450734;47.55313653504473, 7.565266666246665
450740;47.55270583762867, 7.565329387945854
450742;47.55257086772334, 7.565338420827176
450744;47.55538937810829, 7.564491785307705
450746;47.555274571579474, 7.564476515606995
450748;47.55515728471341, 7.564459446575769
450749;47.55510034444004, 7.5644519789450495
450754;47.5548100066542, 7.564412156663415
450759;47.55444590857409, 7.564424838239111
450763;47.554211546264504, 7.564453129600836
450765;47.55397219948635, 7.56449153241203
450766;47.55393038181573, 7.564496894271472
450770;47.55376768958504, 7.564517741278386
450771;47.55372841748998, 7.5645227769566405
450777;47.55347556850737, 7.56455519553556
450779;47.55337237802253, 7.564568450325493
450784;47.55287387654551, 7.56463178876189
450792;47.55248131706061, 7.564674013499045
450799;47.55496356647842, 7.564236058647756
450801;47.55399958404277, 7.564275802982895
450806;47.55379786260177, 7.564301687113733
450810;47.553634270883784, 7.5643226654055615
450811;47.55359287597782, 7.564327975216528
450831;47.55241931920811, 7.564486044759801
450832;47.55400784582922, 7.563718076916518
450836;47.5538338683487, 7.56361978390509
450838;47.5547221885982, 7.564156203736274
450839;47.55472847109368, 7.5640680291445825
450841;47.554645935673896, 7.563866958692506
450842;47.55459150154974, 7.563837191293174
450856;47.556279804866115, 7.564339418803023
450861;47.55602826675076, 7.564098393453764
450863;47.555924015236414, 7.564019523351085
450864;47.555872959425514, 7.563984541671667
450867;47.55532211244275, 7.5636144933297595
450869;47.55522473042346, 7.5635284935897245
450872;47.55500108417124, 7.563367840031229
450877;47.55466950773583, 7.563144560955603
450881;47.55444824064588, 7.563021049083192
450882;47.55423125360852, 7.5628983054528724
450886;47.55406194018775, 7.56280284204052
450889;47.55380492790291, 7.562657395795109
450892;47.55367977428643, 7.562586613976054
450894;47.55359462770754, 7.562538483495088
450899;47.5531207432339, 7.562271191687741
450900;47.55307889337506, 7.562247593585486
450901;47.553036540158004, 7.562223715370226
450907;47.552785135197986, 7.562082007493359
450908;47.55274309653986, 7.562058302973715
450909;47.55270126460543, 7.562034718533717
450914;47.5524964548233, 7.561919636615398
450916;47.55239080597688, 7.5618594116003415
450923;47.55711091305461, 7.566764495909883
450926;47.556191327285376, 7.568193342714491
450928;47.55546828061989, 7.564232540867785
450930;47.55552450396562, 7.564062017738319
450934;47.555586583168555, 7.564542296806102
450938;47.55570027076461, 7.564009672167641
450940;47.554057943647216, 7.565572923422519
450941;47.55402859557105, 7.5650689801584985
450948;47.55280376956793, 7.568115720204776
450950;47.5522788629706, 7.563952072487865
450952;47.55225998300113, 7.563786418557995
450958;47.55213668027971, 7.562698430539987
450961;47.552056864283166, 7.562033457775349
450962;47.55203334181234, 7.561790157850373
450964;47.55270338333141, 7.562818380237678
450970;47.56218498631267, 7.573144534689123
450972;47.56229694281147, 7.572915741239442
450973;47.56281040987847, 7.571842639558896
450974;47.56286612964183, 7.571729050134132
450976;47.562501083527366, 7.572491891993566
450978;47.561237187397325, 7.5722962488633225
450981;47.56147677556783, 7.571796770199637
450982;47.56151718723233, 7.571715406871152
450984;47.56189038847445, 7.570934230933282
450985;47.56192188779827, 7.570867819092192
450986;47.56195180008524, 7.5708050306916865
450990;47.5622278094273, 7.570231019506425
450991;47.56227642758386, 7.570128958940102
450994;47.56136957182892, 7.5723930848070795
450997;47.56149948171197, 7.5721220449040025
450998;47.56157345156909, 7.571967765427166
451006;47.5609256261011, 7.571785883566506
451008;47.56102470403133, 7.571578080863084
451009;47.56105152397696, 7.571522222109119
451011;47.56111557650884, 7.571388553385375
451012;47.56115540449564, 7.571306139167767
451015;47.56098970425004, 7.572023895533577
451016;47.56102916326611, 7.571942078986805
451017;47.561068695690686, 7.571858933789698
451019;47.56114689263067, 7.571696440985035
451028;47.56035529290553, 7.573380782293879
451029;47.56034828600071, 7.573288008515571
451031;47.56032490504187, 7.5729736339486085
451033;47.560078619425695, 7.572560470892494
451035;47.56019048009531, 7.572241692894668
451042;47.56073375002939, 7.570737284502008
451049;47.561225710021425, 7.569207966031819
451051;47.56067757179423, 7.574027211125949
451056;47.56048873304574, 7.57320129282213
451061;47.56068770762623, 7.571658585844966
451063;47.56075601179721, 7.571448182832613
451066;47.56087717324411, 7.571070108003945
451068;47.56094983693321, 7.570845032037547
451069;47.561079029536025, 7.570441529427817
451070;47.56114197247829, 7.570245965122191
451071;47.56118488664023, 7.570113770664165
451079;47.55747698786707, 7.574210146043936
451083;47.557334682109655, 7.574802906880866
451085;47.55812425529604, 7.574536573524439
451089;47.55883848105943, 7.573942553895319
451090;47.55890341363547, 7.573890090152994
451093;47.55950194954342, 7.573342876360934
451098;47.559695230750116, 7.57302566344371
451108;47.55810373143758, 7.571736550499364
451112;47.55918486952091, 7.569251583947735
451113;47.55956057601773, 7.56833805535672
451116;47.55772973831575, 7.573068113753671
451120;47.557956414158255, 7.572546012587572
451121;47.55799927486421, 7.5724470835168844
451123;47.55809698710125, 7.572223532450405
451124;47.5582853693887, 7.5717911316647255
451129;47.55910453925384, 7.56990721550796
451130;47.55914558589164, 7.569811891684972
451131;47.55931610393243, 7.5694219474969975
451135;47.5597077942361, 7.568524002206999
451139;47.560009334133, 7.567828689822289
451148;47.558349372566354, 7.5700108155833306
451149;47.55837909589498, 7.569883790507568
451157;47.55877498212256, 7.568144889704228
451159;47.558848834580026, 7.567823972286641
451160;47.55739981471684, 7.567625110795624
451161;47.55739198599257, 7.567466082714401
451166;47.55762909442574, 7.5733211365407875
451167;47.557663306785905, 7.573219649251274
451172;47.55756717991696, 7.571818652074224
451174;47.55754243916251, 7.57131265060887
451186;47.56009588529582, 7.5741896045684545
451188;47.5598708284411, 7.574249781080606
451190;47.560004793782326, 7.573789253266564
451196;47.55878081984907, 7.574555768011073
451209;47.55934296459719, 7.573664332346602
451211;47.559060851937446, 7.573210838330945
451212;47.55898093218051, 7.573126386802579
451214;47.55879272129407, 7.572922748605628
451217;47.558513245075076, 7.572622263639031
451219;47.558315824358395, 7.5724102089527
451220;47.5595353623996, 7.57400996792707
451224;47.559336288736276, 7.573144952271267
451228;47.55896239882815, 7.572756893225955
451231;47.55872664950781, 7.572503591830452
451233;47.55857539980481, 7.572340865357263
451234;47.55851708574755, 7.572269131938788
451237;47.55837541200471, 7.572123889075423
451245;47.55907080804519, 7.5722641520201845
451246;47.55899027799916, 7.572170120741844
451248;47.5588428601598, 7.572006527060001
451251;47.558706598087724, 7.571847492794085
451256;47.559693592824026, 7.572643518425002
451258;47.55954041708533, 7.572537066375105
451264;47.55912882805935, 7.572058540285999
451270;47.55883434367642, 7.571714639982591
451271;47.55878108137254, 7.5716528445225615
451278;47.557877329566345, 7.571233564613154
451279;47.5579746624559, 7.571223203550795
451282;47.5577517977963, 7.570278234915678
451287;47.55962866299743, 7.572050806114475
451288;47.559505729334305, 7.571907852973362
451289;47.5594557011901, 7.571849293268856
451290;47.559378475859226, 7.57175933589763
451292;47.55925747351631, 7.5716181028910725
451296;47.559012009276046, 7.571332507871392
451303;47.559823951030864, 7.5720050289022485
451306;47.55965396297515, 7.5718062333729135
451307;47.5595750845345, 7.571714730350268
451312;47.55927486828926, 7.57136458338431
451315;47.55908502803799, 7.571143726815203
451316;47.559042086491324, 7.571093144534963
451317;47.55896093539593, 7.570998701664738
451319;47.558835476819574, 7.570852531170407
451323;47.56118619701281, 7.573028628501214
451325;47.56107072028517, 7.57287796781053
451328;47.56090910288157, 7.5726670547010935
451332;47.56016035306692, 7.571807388722326
451334;47.55986163570843, 7.571460230627595
451335;47.5596946915345, 7.571265005112203
451336;47.55957061597254, 7.5711209346993735
451338;47.5594573372489, 7.5709887035801655
451342;47.55907592299583, 7.570543560971224
451346;47.56171308196343, 7.573428664780883
451349;47.56147458569142, 7.573117780115559
451350;47.561411338690164, 7.573034708819419
451353;47.56102687394108, 7.5725196904109895
451356;47.5601973308439, 7.571424632127974
451358;47.56008939665451, 7.571298643604961
451366;47.55969423212917, 7.57083775448628
451369;47.55942544016862, 7.570524865415267
451370;47.55929068466134, 7.570367936219643
451375;47.558697613545256, 7.569727432802876
451376;47.558647064987916, 7.569674800556612
451385;47.557622213654845, 7.568587771413322
451389;47.560347950110355, 7.570972187488695
451396;47.55995964601324, 7.570519712766157
451398;47.559832677782055, 7.570371902656888
451399;47.55974087375053, 7.570264890524921
451400;47.559624539689125, 7.570129557481319
451403;47.559388961916554, 7.569854621003397
451409;47.55884070799232, 7.569274565877126
451412;47.560572078411795, 7.570959986861058
451415;47.56037081386764, 7.570724641915074
451416;47.560306907776685, 7.570650236651936
451423;47.559904294382235, 7.570180948160305
451424;47.55984775347813, 7.570114800144061
451431;47.55941887402281, 7.569615400885817
451437;47.558820357757966, 7.568998886583166
451444;47.56121561605957, 7.5710381671291325
451448;47.56222251699992, 7.57180406266565
451456;47.56131004742764, 7.570873972211111
451458;47.561198630329756, 7.570757500446027
451464;47.56033192075806, 7.570051469647672
451465;47.56027493957642, 7.5699848949732855
451467;47.56016308968646, 7.569852575026233
451475;47.559625488705244, 7.569228558330065
451477;47.559512072665314, 7.569096556658174
451484;47.559004391376725, 7.568584062662518
451488;47.55840807080852, 7.568390770156084
451492;47.55778214791888, 7.568111527654732
451497;47.56045329672202, 7.569918552944976
451511;47.55932994025123, 7.568637774823437
451516;47.55907969352567, 7.568400252600169
451518;47.558979120435765, 7.5683241154653835
451520;47.558462682317675, 7.568065410896555
451531;47.56059635889273, 7.569222107495923
451532;47.56050163494136, 7.569135577204285
451534;47.56037497970676, 7.569020003788935
451542;47.56087543138162, 7.569224383658535
451543;47.560794077140564, 7.569149431990751
451544;47.5606996404051, 7.569063380540188
451546;47.56055618411424, 7.568932353004947
451548;47.56003652516161, 7.568458021138476
451549;47.55997317486697, 7.568400109397641
451550;47.560419196486414, 7.56880729448417
